round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up,variant
4,0.8061068654060364,24340,21780,1.642322301864624,0.0599143505096435,5,42,ckks,10,0.5,0.3966973568841796,0.8057179093360901,0.1654093742370605,0.0005215644836425,4868.0,ckks_clip_quant
5,0.8061068654060364,24340,21780,0.7051870822906494,0.0620474815368652,5,42,ckks,10,0.5,0.4032427962467055,0.7823379755020141,0.1625935554504394,0.0002156257629394,4868.0,ckks_clip_quant
6,0.8061068654060364,24340,21780,0.7232315540313721,0.0600273609161376,5,42,ckks,10,0.5,0.3233556288927604,0.8467598557472229,0.1678977489471435,0.0,4868.0,ckks_clip_quant
7,0.8061068654060364,24340,21780,0.6934983730316162,0.0589716434478759,5,42,ckks,10,0.5,0.3156035571930672,0.8196950554847717,0.161388349533081,0.0004252910614013,4868.0,ckks_clip_quant
8,0.8061068654060364,24340,21780,0.6945765018463135,0.0621039867401123,5,42,ckks,10,0.5,0.2771700247913939,0.8490470170974731,0.1617595195770263,0.0002009391784667,4868.0,ckks_clip_quant
9,0.8061068654060364,24340,21780,0.6846258640289307,0.0570082664489746,5,42,ckks,10,0.5,0.2437782904301241,0.8677255511283875,0.161048412322998,0.0004004478454589,4868.0,ckks_clip_quant
10,0.8638677000999451,24340,21780,0.663872241973877,0.0610978603363037,5,42,ckks,10,0.5,0.2085779974334121,0.8913595914840698,0.1620429992675781,0.0,4868.0,ckks_clip_quant
11,0.8895674347877502,24340,21780,0.6660254001617432,0.0639381408691406,5,42,ckks,10,0.5,0.1996670921788736,0.9059720516204834,0.1618839740753173,0.0,4868.0,ckks_clip_quant
12,0.9559796452522278,24340,21780,0.6720402240753174,0.0621905326843261,5,42,ckks,10,0.5,0.1908421175073941,0.955273187160492,0.1605626106262207,0.0001997470855712,4868.0,ckks_clip_quant
13,0.95979642868042,24340,21780,0.6576681137084961,0.0610055923461914,5,42,ckks,10,0.5,0.1602178449438366,0.974587035179138,0.161857271194458,0.0002080917358398,4868.0,ckks_clip_quant
14,0.9829516410827636,24340,21780,0.6858041286468506,0.0589864253997802,5,42,ckks,10,0.5,0.1415933890653989,0.980304968357086,0.1618008613586425,0.0001998424530029,4868.0,ckks_clip_quant
15,0.9882951378822328,24340,21780,0.6884076595306396,0.0600018501281738,5,42,ckks,10,0.5,0.1519027041713914,0.982210922241211,0.1568058013916015,0.0001362323760986,4868.0,ckks_clip_quant
16,0.987277328968048,24340,21780,0.6751563549041748,0.0580930709838867,5,42,ckks,10,0.5,0.129653045214154,0.9860228657722472,0.1582546234130859,0.000599718093872,4868.0,ckks_clip_quant
17,0.9949109554290771,24340,21780,0.6814579963684082,0.0621697902679443,5,42,ckks,10,0.5,0.1213092312621475,0.9883100509643554,0.1638131618499755,0.0003998279571533,4868.0,ckks_clip_quant
18,0.9941475987434388,24340,21780,0.6875908374786377,0.058924913406372,5,42,ckks,10,0.5,0.0950176545481518,0.9908513307571412,0.1625024318695068,0.0,4868.0,ckks_clip_quant
19,0.9984732866287231,24340,21780,0.9860668182373048,0.0600016117095947,5,42,ckks,10,0.5,0.1041697048711125,0.9937738180160522,0.1592592716217041,0.0004017829895019,4868.0,ckks_clip_quant
20,0.9989821910858154,24340,21780,0.714724063873291,0.0849337577819824,5,42,ckks,10,0.5,0.0906280754529308,0.992884373664856,0.1647581100463867,0.0001637458801269,4868.0,ckks_clip_quant
1,0.8061068654060364,24340,21780,32.132582664489746,0.5841267108917236,5,42,ckks,10,0.5,0.4959842763604475,0.785133421421051,0.1665879726409912,0.0002004146575927,4868.0,ckks_clip_quant_comp
2,0.8061068654060364,24340,21780,0.713115930557251,0.0600237846374511,5,42,ckks,10,0.5,0.4568581997212188,0.7866581916809082,0.1605773448944091,0.0004928112030029,4868.0,ckks_clip_quant_comp
3,0.8061068654060364,24340,21780,0.7169327735900879,0.063014268875122,5,42,ckks,10,0.5,0.4074276092659866,0.8038119435310364,0.1588554382324218,0.0,4868.0,ckks_clip_quant_comp
4,0.8061068654060364,24340,21780,0.7043197154998779,0.0600008964538574,5,42,ckks,10,0.5,0.3872353765001139,0.7979669570922852,0.1581389427185058,0.0002173423767089,4868.0,ckks_clip_quant_comp
5,0.8061068654060364,24340,21780,0.6892199516296387,0.059018850326538,5,42,ckks,10,0.5,0.3866462746145159,0.7809402823448182,0.1601751804351806,0.0001986026763916,4868.0,ckks_clip_quant_comp
6,0.8061068654060364,24340,21780,0.7096042633056641,0.0727694034576416,5,42,ckks,10,0.5,0.3123838171476482,0.8392630338668823,0.1566446781158447,0.0002004623413085,4868.0,ckks_clip_quant_comp
7,0.8061068654060364,24340,21780,0.7310166358947754,0.0640788078308105,5,42,ckks,10,0.5,0.3113079039879342,0.8208386301994324,0.1630260944366455,0.0,4868.0,ckks_clip_quant_comp
8,0.8061068654060364,24340,21780,0.7129089832305908,0.0640120506286621,5,42,ckks,10,0.5,0.2859265756122341,0.8189326643943786,0.1616427898406982,0.0004188537597656,4868.0,ckks_clip_quant_comp
